crate_name,version,trust_score,assumptions,librs
ckb-chain-iter,0.119.0-rc2,25,ckb-chain-iter-0.119.0-rc2 has many stars and forks: 10 wt | ckb-chain-iter-0.119.0-rc2 having many stars and forks implies it is safe: 15 wt,yes
byteflags,0.1.0,21,byteflags-0.1.0 has all safe dependencies: 20 wt | byteflags-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
akuma,0.1.0,1,akuma-0.1.0 has all safe dependencies: 0 wt | akuma-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
audioviz,0.6.0,11,audioviz-0.6.0 has all safe dependencies: 10 wt | audioviz-0.6.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
conv,0.3.3,28,conv-0.3.3 has many downloads: 18 wt | conv-0.3.3 having many downloads implies it is safe: 10 wt,yes
adafruit-itsy-bitsy-rp2040,0.8.0,19,adafruit-itsy-bitsy-rp2040-0.8.0 has all safe dependencies: 18 wt | adafruit-itsy-bitsy-rp2040-0.8.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
binmatch,1.2.1,1,binmatch-1.2.1 has all safe dependencies: 0 wt | binmatch-1.2.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
bp-westend,0.14.0,16,bp-westend-0.14.0 has many stars and forks: 1 wt | bp-westend-0.14.0 having many stars and forks implies it is safe: 15 wt,yes
conv64,0.1.0,1,conv64-0.1.0 has all safe dependencies: 0 wt | conv64-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
cargo-crate-poc,0.1.0,1,cargo-crate-poc-0.1.0 has all safe dependencies: 0 wt | cargo-crate-poc-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
adafruit-led-backpack,0.1.0,5,adafruit-led-backpack-0.1.0 has all safe dependencies: 4 wt | adafruit-led-backpack-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
bytemuck,1.19.0,12,bytemuck-1.19.0 has many downloads: 2 wt | bytemuck-1.19.0 having many downloads implies it is safe: 10 wt,yes
frequency,1.0.1,11,frequency-1.0.1 has all safe dependencies: 10 wt | frequency-1.0.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
altair,0.0.1,1,altair-0.0.1 has all safe dependencies: 0 wt | altair-0.0.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
freq,0.1.0,1,freq-0.1.0 has all safe dependencies: 0 wt | freq-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
default_is_triple_underscore,0.2.0,1,default_is_triple_underscore-0.2.0 has all safe dependencies: 0 wt | default_is_triple_underscore-0.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
freqache,0.6.0,1,freqache-0.6.0 has all safe dependencies: 0 wt | freqache-0.6.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
disint-tide,0.1.0,39,disint-tide-0.1.0 has all safe dependencies: 38 wt | disint-tide-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
controlled-option-macros,0.2.2,31,controlled-option-macros-0.2.2 has all safe dependencies: 30 wt | controlled-option-macros-0.2.2 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
google-analyticsdata1_beta-cli,6.0.0+20240625,32,google-analyticsdata1_beta-cli-6.0.0+20240625 has many stars and forks: 17 wt | google-analyticsdata1_beta-cli-6.0.0+20240625 having many stars and forks implies it is safe: 15 wt,yes
doomsayer,0.1.1,1,doomsayer-0.1.1 has all safe dependencies: 0 wt | doomsayer-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
google-analyticsadmin1_alpha-cli,3.1.0+20220307,32,google-analyticsadmin1_alpha-cli-3.1.0+20220307 has many stars and forks: 17 wt | google-analyticsadmin1_alpha-cli-3.1.0+20220307 having many stars and forks implies it is safe: 15 wt,yes
efg,0.1.4,1,efg-0.1.4 has all safe dependencies: 0 wt | efg-0.1.4 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
aws-sdk-redshiftserverless,1.48.0,15,aws-sdk-redshiftserverless-1.48.0 has many stars and forks: 0 wt | aws-sdk-redshiftserverless-1.48.0 having many stars and forks implies it is safe: 15 wt,yes
eql_macros,0.1.0,31,eql_macros-0.1.0 has all safe dependencies: 30 wt | eql_macros-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
altbitflags,0.1.0,1,altbitflags-0.1.0 has all safe dependencies: 0 wt | altbitflags-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
enumer_derive,0.1.1,21,enumer_derive-0.1.1 has all safe dependencies: 20 wt | enumer_derive-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
arm64utils,0.1.3,1,arm64utils-0.1.3 has all safe dependencies: 0 wt | arm64utils-0.1.3 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
aws-sdk-resourcegroupstagging,1.46.0,15,aws-sdk-resourcegroupstagging-1.46.0 has many stars and forks: 0 wt | aws-sdk-resourcegroupstagging-1.46.0 having many stars and forks implies it is safe: 15 wt,yes
dryf,0.1.0,1,dryf-0.1.0 has all safe dependencies: 0 wt | dryf-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
google-androiddeviceprovisioning1-cli,3.1.0+20220305,32,google-androiddeviceprovisioning1-cli-3.1.0+20220305 has many stars and forks: 17 wt | google-androiddeviceprovisioning1-cli-3.1.0+20220305 having many stars and forks implies it is safe: 15 wt,yes
eq-type,0.1.0,1,eq-type-0.1.0 has all safe dependencies: 0 wt | eq-type-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
audita,0.0.1,1,audita-0.0.1 has all safe dependencies: 0 wt | audita-0.0.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
axum_client_derive,0.1.0,21,axum_client_derive-0.1.0 has all safe dependencies: 20 wt | axum_client_derive-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
ark-ed-on-bls12-381-bandersnatch-ext,0.4.1,39,ark-ed-on-bls12-381-bandersnatch-ext-0.4.1 has many downloads: 29 wt | ark-ed-on-bls12-381-bandersnatch-ext-0.4.1 having many downloads implies it is safe: 10 wt,no
datadog-appsec,0.1.0,1,datadog-appsec-0.1.0 has all safe dependencies: 0 wt | datadog-appsec-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
defer-heavy,0.1.0,1,defer-heavy-0.1.0 has all safe dependencies: 0 wt | defer-heavy-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
cargo-credential,0.4.6,15,cargo-credential-0.4.6 has many stars and forks: 0 wt | cargo-credential-0.4.6 having many stars and forks implies it is safe: 15 wt,yes
auditable,0.2.0,1,auditable-0.2.0 has all safe dependencies: 0 wt | auditable-0.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
cayenne_lpp,0.1.1,1,cayenne_lpp-0.1.1 has all safe dependencies: 0 wt | cayenne_lpp-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
al,0.1.5,1,al-0.1.5 has all safe dependencies: 0 wt | al-0.1.5 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
doodle_derive,0.2.0,31,doodle_derive-0.2.0 has all safe dependencies: 30 wt | doodle_derive-0.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
cosmic_undo_2,0.2.0,13,cosmic_undo_2-0.2.0 has all safe dependencies: 12 wt | cosmic_undo_2-0.2.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,no
commonlib,0.1.2,16,commonlib-0.1.2 has many stars and forks: 1 wt | commonlib-0.1.2 having many stars and forks implies it is safe: 15 wt,yes
finland,0.1.0,1,finland-0.1.0 has all safe dependencies: 0 wt | finland-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
configr_derive,0.8.0,31,configr_derive-0.8.0 has all safe dependencies: 30 wt | configr_derive-0.8.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
ckb-channel,0.119.0-rc2,25,ckb-channel-0.119.0-rc2 has many stars and forks: 10 wt | ckb-channel-0.119.0-rc2 having many stars and forks implies it is safe: 15 wt,no
algonaut_urn,0.0.1,1,algonaut_urn-0.0.1 has all safe dependencies: 0 wt | algonaut_urn-0.0.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
cargo-credential-macos-keychain,0.4.8,15,cargo-credential-macos-keychain-0.4.8 has many stars and forks: 0 wt | cargo-credential-macos-keychain-0.4.8 having many stars and forks implies it is safe: 15 wt,yes
AccountingCenter,0.1.0,1,AccountingCenter-0.1.0 has all safe dependencies: 0 wt | AccountingCenter-0.1.0 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
dot,0.1.4,42,dot-0.1.4 has many downloads: 32 wt | dot-0.1.4 having many downloads implies it is safe: 10 wt,yes
doom,0.1.1,1,doom-0.1.1 has all safe dependencies: 0 wt | doom-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
Aetherus,0.1.1,1,Aetherus-0.1.1 has all safe dependencies: 0 wt | Aetherus-0.1.1 having no side effects and having all safe dependencies implies it is safe: 1 wt,yes
